,index,name,number_of_comment,brand,Negative,Positive,price,volume(l),number_of_door,rank_point,rank
115,118,Tủ Lạnh Inverter Mitsubishi Electric MR-CGX41EN-GBK (330L) - Hàng Chính Hãng ,5,Mitsubishi Electric,0.23771939451972796,0.762280605480272,14480000.0,523.0,3.0,3.8114030274013597,66
116,120,Tủ Lạnh Sharp Inverter 224 lít SJ-X251E-DS ,17,Sharp,0.38854658603474335,0.6114534139652569,4790000.0,241.0,2.0,10.394708037409368,267
117,121,Tủ Lạnh Inverter Hitachi R-F560PGV7-BSL (450L) - Hàng Chính Hãng ,3,Hitachi,0.15121122376086124,0.8487887762391386,12379000.0,373.75,2.5,2.546366328717416,127
118,124,Tủ Lạnh Inverter Panasonic NR-BC360QKVN (322L) - Hàng Chính Hãng ,8,Panasonic,0.26405556727361196,0.7359444327263881,12650000.0,426.0,2.5,5.887555461811105,146
119,125,Tủ lạnh Electrolux Inverter 315 lít EBB3400H-H ,4,Electrolux,0.3376966821865207,0.6623033178134792,8590000.0,319.75,2.0,2.6492132712539167,161
120,126,Tủ lạnh Sharp Inverter 180 lít SJ-X196E-SL ,5,Sharp,0.2157406237683917,0.7842593762316084,4139000.0,180.0,2.0,3.9212968811580415,240
121,127,Tủ lạnh Side By Side Toshiba Inverter 493 lít GR-RS637WE - Hàng Chính Hãng - Chỉ giao khu vực HCM ,3,Toshiba,0.11430400925660274,0.8856959907433972,20990000.0,493.0,2.0,2.6570879722301917,68
122,128,Tủ Lạnh Inverter Samsung RS62R5001B4/SV (647L) - Hàng chính hãng ,1,Samsung,0.15121122376086124,0.8487887762391386,18890000.0,680.0,3.5,0.8487887762391386,2
123,129,Tủ Lạnh Inverter Hitachi R-FG510PGV8-GBK (406L) - Hàng Chính Hãng ,2,Hitachi,0.23401375874303865,0.7659862412569611,11990000.0,384.75,2.25,1.5319724825139223,106
124,130,Tủ lạnh Hitachi Inverter 540 lít R-FW690PGV7X GBK ,4,Hitachi,0.4481509177630473,0.5518490822369526,26890000.0,540.0,4.0,2.2073963289478105,52
125,132,Tủ lạnh mini 2 chế độ nóng lạnh 10 lít tặng kèm chân kê máy giặt tủ lạnh ,2,OEM,0.15121122376086124,0.8487887762391386,1300000.0,51.0,1.0,1.6975775524782772,266
126,133,Tủ Lạnh Inverter Samsung RS62R5001B4/SV (647L) (HÀNG CHÍNH HÃNG) ,3,Samsung,0.17755125466435098,0.8224487453356489,18790000.0,575.75,3.5,2.467346236006947,41
127,134,Tủ lạnh Sharp Inverter 224 lít SJ-X251E-SL ,12,Sharp,0.375205319039832,0.6247946809601681,4749000.0,241.0,2.0,7.497536171522017,253
128,135,Tủ Lạnh Inverter Electrolux ETB3400H-H (320L) - Hàng chính hãng ,10,Electrolux,0.12088041698026804,0.8791195830197319,7090000.0,284.25,2.0,8.791195830197319,243
129,136,Tủ Lạnh Inverter Sharp SJ-X281E-SL (253L) - Hàng chính hãng ,12,Sharp,0.28594840372839914,0.7140515962716009,5365000.0,271.0,2.0,8.56861915525921,251
130,137,Tủ Lạnh Inverter Panasonic NR-DZ600GKVN (550L) - Hàng chính hãng ,1,Panasonic,0.15121122376086124,0.8487887762391386,25889000.0,540.0,3.5,0.8487887762391386,42
131,138,Tủ Lạnh Inverter Samsung RL4364SBABS/SV (458L) - Hàng chính hãng ,1,Samsung,0.15121122376086124,0.8487887762391386,14690000.0,458.0,3.5,0.8487887762391386,65
