,index,name,brand,price,number_of_comment,hardware_size(GB),RAM(GB),display(inch),Negative,Positive,rank
67,67,Laptop Asus TUF Gaming FX505DT-HN478T (AMD Ryzen 7 3750H/ 8GB DDR4 2666MHz/ 512GB SSD M.2 PCIE G3X2/ GTX 1650 4GB GDDR5/ 15.6 FHD IPS  144Hz/ Win10) - Hàng Chính Hãng ,Asus,18590000.0,0.0,512.0,8.0,15.6,0.5,0.5,16
68,68,"Laptop Dell Vostro 5481 V4I5229W Core i5-8265U/ Win10 + Office365 (14.0"" FHD IPS) - Hàng Chính Hãng ",Dell,15999000.0,11.0,1.0,4.0,14.0,0.340048530746398,0.659951469253602,251
69,69,Laptop MSI Bravo 15 A4DCR-270VN (AMD Ryzen 5 4600H/ 8GB DDR4 3200MHz/ 256GB SSD M.2 PCIE/ AMD RX 5300M 3GB GDDR6/ 15.6 FHD IPS  144Hz/ Win10) - Hàng Chính Hãng ,MSI,18019000.0,0.0,256.0,8.0,15.6,0.5,0.5,132
70,70,Laptop Asus ROG Strix G15 G512-IAL013T (Core i5-10300H/ 8GB DDR4 3200MHz/ 512GB SSD PCIE G3X4/ GTX 1650Ti 4GB GDDR6/ 15.6 FHD IPS  144Hz/ Win10) - Hàng Chính Hãng ,Asus,22789000.0,1.0,512.0,8.0,15.6,0.14007549384822565,0.8599245061517743,87
71,71,"laptop Asus Vivobook S14 S430FA-EB075T Core i5-8265U/ Win10 (14"" FHD IPS) - Hàng Chính Hãng ",Asus,13999000.0,2.0,1.0,4.0,14.0,0.7129204945029246,0.28707950549707534,236
72,72,Laptop HP Envy 13-ba1030TU 2K0B6PA (Core i7-1165G7/ 8GB DDR4 3200MHz (Onboard)/ 512GB PCIe NVMe/ 13.3 FHD IPS/ Win10 + Office Home & Student) - Hàng Chính Hãng ,HP,26699000.0,0.0,512.0,8.0,13.3,0.5,0.5,66
73,73,Laptop HP Pavilion 14-ce3026TU 8WH93PA (Core i5-1035G1/ 8GB/ 512GB SSD/ 14 FHD/ WIN10) - Hàng Chính Hãng ,HP,16390000.0,7.0,512.0,8.0,14.0,0.2441787195943907,0.7558212804056094,102
74,74,Laptop LG Gram 2020 14ZD90N-V.AX53A5 (Core i5-1035G7/ 8GB/ 256GB NVMe/ 14 FHD IPS/ NonOS/ White) - Hàng Chính Hãng ,LG,24899000.0,5.0,256.0,8.0,14.0,0.3921642056065059,0.607835794393494,179
75,75,Laptop Acer Swift 3 SF314-41-R8G9 NX.HFDSV.003 (AMD Ryzen 7-3700U/ 8GB (4GB x2) DDR4 2133MHz/ 512GB SSD M.2 PCIE/ 14FHD/ Win10) - Hàng Chính Hãng ,Acer,14899000.0,2.0,512.0,8.0,14.0,0.1334121533521867,0.8665878466478135,97
76,76,Laptop MSI Modern 14 B11SB-244VN (Core i5-1135G7/ 8GB DDR4 3200MHz/ 512GB PCIe NVMe/ MX450 2GB GDDR5/ 14 FHD IPS/ Win10) - Hàng Chính Hãng ,MSI,21199000.0,0.0,512.0,8.0,14.0,0.5,0.5,46
